Rank,Player,Pos,Team
1,Breece Hall,RB,NYJ
2,Christian McCaffrey,RB,SF
3,Tyreek Hill,WR,MIA
4,Justin Jefferson,WR,MIN
5,Bijan Robinson,RB,ATL
6,CeeDee Lamb,WR,DAL
7,Ja'Marr Chase,WR,CIN
8,Amon-Ra St. Brown,WR,DET
9,A.J. Brown,WR,PHI
10,Jonathan Taylor,RB,IND
11,Saquon Barkley,RB,PHI
12,Garrett Wilson,WR,NYJ
13,Puka Nacua,WR,LAR
14,Mike Evans,WR,TB
15,Nico Collins,WR,HOU
16,Chris Olave,WR,NO
17,Drake London,WR,ATL
18,Marvin Harrison,WR,ARI
19,DJ Moore,WR,CHI
20,Davante Adams,WR,LV
21,Cooper Kupp,WR,LAR
22,Travis Etienne,RB,JAC
23,Isiah Pacheco,RB,KC
24,Jahmyr Gibbs,RB,DET
25,Derrick Henry,RB,BAL
26,Brandon Aiyuk,WR,SF
27,Deebo Samuel,WR,SF
28,DK Metcalf,WR,SEA
29,Jaylen Waddle,WR,MIA
30,Kyren Williams,RB,LAR
31,De'Von Achane,RB,MIA
32,DeVonta Smith,WR,PHI
33,Josh Allen,QB,BUF
34,Travis Kelce,TE,KC
35,Josh Jacobs,RB,GB
36,Sam LaPorta,TE,DET
37,Michael Pittman,WR,IND
38,Stefon Diggs,WR,HOU
39,Patrick Mahomes,QB,KC
40,Jalen Hurts,QB,PHI
41,Amari Cooper,WR,CLE
42,Tee Higgins,WR,CIN
43,Zay Flowers,WR,BAL
44,George Pickens,WR,PIT
45,Malik Nabers,WR,NYG
46,Calvin Ridley,WR,TEN
47,Keenan Allen,WR,CHI
48,Lamar Jackson,QB,BAL
49,Trey McBride,TE,ARI
50,Chris Godwin,WR,TB
51,Mark Andrews,TE,BAL
52,Kyle Pitts,TE,ATL
53,Dalton Kincaid,TE,BUF
54,Joe Mixon,RB,HOU
55,Aaron Jones,RB,MIN
56,Kenneth Walker,RB,SEA
57,James Cook,RB,BUF
58,Tank Dell,WR,HOU
59,Christian Kirk,WR,JAC
60,C.J. Stroud,QB,HOU
61,Terry McLaurin,WR,WAS
62,Anthony Richardson,QB,IND
63,George Kittle,TE,SF
64,Evan Engram,TE,JAC
65,Rachaad White,RB,TB
66,James Conner,RB,ARI
67,Alvin Kamara,RB,NO
68,Najee Harris,RB,PIT
69,David Montgomery,RB,DET
70,Christian Watson,WR,GB
71,Jayden Reed,WR,GB
72,Joe Burrow,QB,CIN
73,Rhamondre Stevenson,RB,NE
74,Devin Singletary,RB,NYG
75,Diontae Johnson,WR,CAR
76,Rome Odunze,WR,CHI
77,Courtland Sutton,WR,DEN
78,Hollywood Brown,WR,KC
79,Dak Prescott,QB,DAL
80,Kyler Murray,QB,ARI
81,Zamir White,RB,LV
82,Jake Ferguson,TE,DAL
83,Jordan Love,QB,GB
84,Rashee Rice,WR,KC
85,Javonte Williams,RB,DEN
86,D'Andre Swift,RB,CHI
87,Keon Coleman,WR,BUF
88,Raheem Mostert,RB,MIA
89,Chase Brown,RB,CIN
90,Tony Pollard,RB,TEN
91,Jakobi Meyers,WR,LV
92,Brian Thomas,WR,JAC
93,Caleb Williams,QB,CHI
94,Jameson Williams,WR,DET
95,Jaxon Smith-Njigba,WR,SEA
96,Rashid Shaheed,WR,NO
97,Zack Moss,RB,CIN
98,Brock Bowers,TE,LV
99,Austin Ekeler,RB,WAS
100,David Njoku,TE,CLE
101,Brock Purdy,QB,SF
102,Jayden Daniels,QB,WAS
103,Jordan Addison,WR,MIN
104,Jared Goff,QB,DET
105,Dontayvion Wicks,WR,GB
106,Nick Chubb,RB,CLE
107,Xavier Worthy,WR,KC
108,Mike Williams,WR,NYJ
109,Jaylen Warren,RB,PIT
110,DeAndre Hopkins,WR,TEN
111,Gus Edwards,RB,LAC
112,Brian Robinson,RB,WAS
113,Tyjae Spears,RB,TEN
114,Jerome Ford,RB,CLE
115,Khalil Shakir,WR,BUF
116,Jonathon Brooks,RB,CAR
117,Zach Charbonnet,RB,SEA
118,Tyler Lockett,WR,SEA
119,Chuba Hubbard,RB,CAR
120,Ladd McConkey,WR,LAC
121,Dallas Goedert,TE,PHI
122,Tyler Allgeier,RB,ATL
123,Curtis Samuel,WR,BUF
124,Tua Tagovailoa,QB,MIA
125,Jahan Dotson,WR,WAS
126,Marvin Mims,WR,DEN
127,DeMario Douglas,WR,NE
128,Kendre Miller,RB,NO
129,Ezekiel Elliott,RB,DAL
130,Blake Corum,RB,LAR
131,Roschon Johnson,RB,CHI
132,Trey Benson,RB,ARI
133,Joshua Palmer,WR,LAC
134,Jerry Jeudy,WR,CLE
135,Adonai Mitchell,WR,IND
136,Adam Thielen,WR,CAR
137,Pat Freiermuth,TE,PIT
138,Trevor Lawrence,QB,JAC
139,Will Shipley,RB,PHI
140,Matthew Stafford,QB,LAR
141,Elijah Mitchell,RB,SF
142,Jaleel McLaughlin,RB,DEN
143,Michael Wilson,WR,ARI
144,Rashod Bateman,WR,BAL
145,Kirk Cousins,QB,ATL
146,Jordan Mason,RB,SF
147,Xavier Legette,WR,CAR
148,Dalton Schultz,TE,HOU
149,Darnell Mooney,WR,ATL
150,Romeo Doubs,WR,GB